Job ID,Batch,Subject,Color/Shape,Action,Context,Prompt VI,Target File,Status
"combo__sub-coc-su","ceramic-cup_level1","Cốc sứ trắng","","","","Cái cốc sứ trắng tinh (1 từ thử nghiệm, chưa có chìa khóa)","combo__sub-coc-su.webp","pending"
"combo__sub-coc-su__cs-su-trang-men-bong","ceramic-cup_level2","Cốc sứ trắng","Sứ trắng men bóng","","","Cái cốc sứ trắng tinh, chất liệu men sứ màu trắng sữa bóng bẩy mịn màng","combo__sub-coc-su__cs-su-trang-men-bong.webp","pending"
"combo__sub-coc-su__cs-me-mieng-goc","ceramic-cup_level2","Cốc sứ trắng","Mẻ miệng một góc","","","Cái cốc sứ trắng tinh, vết mẻ nhỏ một góc miệng cốc mộc mạc","combo__sub-coc-su__cs-me-mieng-goc.webp","pending"
"combo__sub-coc-su__cs-quai-cam-tron","ceramic-cup_level2","Cốc sứ trắng","Có quai tròn xinh","","","Cái cốc sứ trắng tinh, có quai cầm tròn xinh xắn","combo__sub-coc-su__cs-quai-cam-tron.webp","pending"
"combo__sub-coc-su__cs-su-trang-men-bong__act-khoi-nghi-ngut","ceramic-cup_level3","Cốc sứ trắng","Sứ trắng men bóng","Đang bốc khói nghi ngút","","Cái cốc sứ trắng tinh, chất liệu men sứ màu trắng sữa bóng bẩy mịn màng, làn hơi nóng bốc lên nghi ngút thơm lừng","combo__sub-coc-su__cs-su-trang-men-bong__act-khoi-nghi-ngut.webp","pending"
"combo__sub-coc-su__cs-su-trang-men-bong__act-toa-huong-thom","ceramic-cup_level3","Cốc sứ trắng","Sứ trắng men bóng","Tỏa hương thơm ngát","","Cái cốc sứ trắng tinh, chất liệu men sứ màu trắng sữa bóng bẩy mịn màng, đang tỏa hương trà thơm ngát ngập tràn","combo__sub-coc-su__cs-su-trang-men-bong__act-toa-huong-thom.webp","pending"
"combo__sub-coc-su__cs-su-trang-men-bong__act-chua-tra-nong","ceramic-cup_level3","Cốc sứ trắng","Sứ trắng men bóng","Chứa đầy trà nóng","","Cái cốc sứ trắng tinh, chất liệu men sứ màu trắng sữa bóng bẩy mịn màng, đang chứa đầy trà nóng ấm áp","combo__sub-coc-su__cs-su-trang-men-bong__act-chua-tra-nong.webp","pending"
"combo__sub-coc-su__cs-me-mieng-goc__act-khoi-nghi-ngut","ceramic-cup_level3","Cốc sứ trắng","Mẻ miệng một góc","Đang bốc khói nghi ngút","","Cái cốc sứ trắng tinh, vết mẻ nhỏ một góc miệng cốc mộc mạc, làn hơi nóng bốc lên nghi ngút thơm lừng","combo__sub-coc-su__cs-me-mieng-goc__act-khoi-nghi-ngut.webp","pending"
"combo__sub-coc-su__cs-me-mieng-goc__act-toa-huong-thom","ceramic-cup_level3","Cốc sứ trắng","Mẻ miệng một góc","Tỏa hương thơm ngát","","Cái cốc sứ trắng tinh, vết mẻ nhỏ một góc miệng cốc mộc mạc, đang tỏa hương trà thơm ngát ngập tràn","combo__sub-coc-su__cs-me-mieng-goc__act-toa-huong-thom.webp","pending"
"combo__sub-coc-su__cs-me-mieng-goc__act-chua-tra-nong","ceramic-cup_level3","Cốc sứ trắng","Mẻ miệng một góc","Chứa đầy trà nóng","","Cái cốc sứ trắng tinh, vết mẻ nhỏ một góc miệng cốc mộc mạc, đang chứa đầy trà nóng ấm áp","combo__sub-coc-su__cs-me-mieng-goc__act-chua-tra-nong.webp","pending"
